I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10230,,2016,11,27,23,35,2,10,5.4,,,5.4,,,,4,NEPAL,,NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA,27.802,86.532,40,1,1,,,1,1,,1,2,1,,,1,1,,,1,1,,1,2,1,,,
10231,,2016,11,29,20,9,35,5,4.2,4.2,,,,,,,POLAND,,POLAND:  RUDNA,51.613,16.157,120,8,1,,,9,1,,1,,,,,8,1,,,9,1,,1,,,,,,
10379,,2016,12,1,0,25,38,1,5.3,5.3,,,,,,6,COSTA RICA,,COSTA RICA:  PARAISO, TURRIALBA,9.949,-83.807,100,,,,,,,,2,,,60,2,,,,,,,,2,,,60,2,
10232,,2016,12,1,22,40,    ,10,6.2,6.2,,,,,,6,PERU,,PERU:  PUNO, LAMPA,-15.44,-70.93,160,1,1,,,17,1,,1,8,1,40,1,1,1,,,17,1,,1,8,1,40,1,
10215,,2016,12,6,22,3,39,13,6.5,6.5,,,,,,8,INDONESIA,,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,60,104,3,,,857,3,100,4,245,3,18752,4,104,3,,,857,3,100,4,245,3,18752,4,,
10380,,2016,12,8,5,15,6,18,6,6,,,,,,3,CHINA,,CHINA:  N. XINJIANG:  URUMQI,43.823,86.345,40,1,1,,,,,135,4,,,,,1,1,,,,,135,4,,,,,,
10218,Tsu,2016,12,8,17,38,28,40,7.8,7.8,,,,,,8,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.681,161.327,170,1,1,,,,,,1,191,3,126,3,1,1,,,,,,1,191,3,126,3,,
10219,Tsu,2016,12,9,19,11,24,20,6.9,6.9,,,,,,7,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.749,161.132,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10220,Tsu,2016,12,17,10,51,5,95,7.9,7.9,,,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND,-4.505,153.522,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10221,,2016,12,19,7,11,    ,6,5.4,5.4,,,,,,6,ECUADOR,,ECUADOR:  ESMERALDAS,0.93,-79.84,160,3,1,,,47,1,,2,10,1,70,2,3,1,,,47,1,,2,10,1,70,2,,
10224,Tsu,2016,12,25,14,22,    ,30,7.6,7.6,,,,,,7,CHILE,,CHILE,-43.517,-74.391,160,,,,,,,,1,,,,,,,,,,,,1,,,,,,
10226,,2017,1,3,9,9,8,32,5.7,5.7,,,,,,,INDIA,,INDIA:  AMBASA;  BANGLADESH,24.015,92.018,60,3,1,,,,1,,1,,,,2,3,1,,,,1,,1,,,,2,,
10225,Tsu,2017,1,3,21,53,7,12,6.9,6.9,,,,,,6,FIJI,,FIJI ISLANDS,-19.373,176.052,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10227,,2017,1,6,2,33,21,10,5,5,,,,,,,IRAN,,IRAN:  KHONJ,28.2,53.107,140,4,1,,,4,1,,1,,,,,4,1,,,4,1,,1,,,,,,
10254,,2017,1,11,22,7,7,7,5.5,5.5,,,,,,,MADAGASCAR,,MADAGASCAR: ANTSIRABE,-20.16,46.647,60,2,1,,,,1,,1,,,,1,2,1,,,,1,,1,,,,1,,
10234,,2017,1,18,10,14,9,9,5.7,5.7,,,,,,,ITALY,,ITALY:  FARINDOLA,42.529,13.282,130,34,1,,,11,1,18,3,,1,,,34,1,,,11,1,18,3,,1,,,,
10235,Tsu,2017,1,22,4,31,36,135,7.9,7.9,,,,,,9,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.246,155.172,170,3,1,,,,,,1,,3,,,3,1,,,,,,1,,3,,,,
10405,,2017,2,6,3,52,4,10,5.3,5.3,,,,,,,TURKEY,,TURKEY:  CANAKKALE,39.599,26.065,140,,,,,5,1,,2,,,90,2,,,,,5,1,,2,,,90,2,,
10403,,2017,2,6,13,2,14,38,5.5,5.5,,,,,,,COLOMBIA,,COLOMBIA:  HUILA,3.449,-74.672,160,,,,,,,,2,,,378,3,,,,,,,,2,,,378,3,,
10237,,2017,2,7,22,3,39,29,6.3,6.3,,,,,,,PAKISTAN,,PAKISTAN:  PASNI,25.191,63.264,60,,,,,,,,1,20,1,,1,,,,,,,,1,20,1,,1,,
10238,,2017,2,10,14,4,32,15,6.5,6.5,,,,,,8,PHILIPPINES,,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,170,8,1,,,202,3,40,4,215,3,3042,4,8,1,,,202,3,40,4,215,3,3042,4,,
10404,,2017,2,24,0,32,8,30,5.9,5.9,,,,,,,ZAMBIA,,ZAMBIA:  KAPUTA,-8.44,30.031,10,,,,,5,1,,1,,1,,,,,,,5,1,,1,,1,,,,
10316,,2017,3,5,0,8,1,11,5.7,5.7,,,,,,,PHILIPPINES,,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,170,1,1,,,45,1,,1,13,1,,,1,1,,,45,1,,1,13,1,,,,
10239,,2017,3,13,14,20,7,10,5.1,,,5.1,,,,,MYANMAR (BURMA),,MYANMAR (BURMA):  THARRAWADDY,17.399,96,60,2,1,,,36,1,,1,,1,,1,2,1,,,36,1,,1,,1,,1,,
10436,,2017,3,21,23,10,15,112,5.6,5.6,,,,,,,INDONESIA,,INDONESIA:  BALI,-8.492,115.323,60,,,,,4,1,,2,,1,,,,,,,4,1,,2,,1,,,,
10468,,2017,3,26,23,55,6,28,5,,,5,,,,2,CHINA,,CHINA:   YUNNAN PROVINCE,25.938,99.841,30,,,,,1,1,31,4,,,,,,,,,1,1,31,4,,,,,,
10240,,2017,4,5,6,9,2,13,6.1,6.1,,,,,,,IRAN,,IRAN:  SEFID SANG,35.776,60.436,140,2,1,,,11,1,,1,,,,1,2,1,,,11,1,,1,,,,1,,
10242,,2017,4,8,7,9,18,14,5.9,5.9,,,,,,,PHILIPPINES,,PHILIPPINES: BATANGAS, CALABARZON,13.77,120.935,170,,,,,6,1,2,2,506,3,2108,4,,,,,6,1,2,2,506,3,2108,4,
10241,,2017,4,10,23,54,3,10,4.8,,,4.8,,,,,EL SALVADOR,,EL SALVADOR: SAN SALVADOR,SOYAPANGO,13.766,-89.155,100,1,1,,,3,1,,1,,,,2,1,1,,,3,1,,1,,,,2,
10244,Tsu,2017,4,24,21,39,22,28,6.9,6.9,,6.3,,,,9,CHILE,,CHILE:  VALPARAISO,-33.038,-72.062,160,,,,,,,,,,,,,,,,,,,,,,,,,,
10245,Tsu,2017,4,28,20,23,26,26,6.9,6.9,,,,,,9,PHILIPPINES,,PHILIPPINES: SARANGANI,5.504,125.066,170,,,,,5,1,,1,1,1,,1,,,,,7,1,,1,1,1,,1,,
10247,Tsu,2017,5,1,12,31,3,1,6.2,6.2,,,,,,,CANADA,,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.852,-136.677,150,,,,,,,,,,,,,,,,,,,,,,,,,,
10437,,2017,5,3,4,47,38,11,6,6,,,,,,,TAJIKISTAN,,KYRGYZSTAN:  OSH, BATKEN,39.494,71.444,40,,,,,,,,3,537,3,,,,,,,,,,3,537,3,,,
10248,,2017,5,10,21,58,7,8,5.4,5.4,,,,,,,CHINA,,CHINA: XINJIANG: QUZGUN, TAXKORGAN TAJIK,37.643,75.31,40,8,1,,,23,1,123,4,3015,4,,,8,1,,,23,1,123,4,3015,4,,,
10438,,2017,5,11,3,24,37,63,5.1,,,5.1,,,,,AZERBAIJAN,,IRAN:  ARDABIL,39.816,48.57,40,,,,,20,1,,2,,,85,2,,,,,20,1,,2,,,85,2,,
10249,,2017,5,13,18,0,52,8,5.6,5.6,,5.5,,,,,IRAN,,IRAN: KHORASAN,37.769,57.206,140,3,1,,,417,3,2,2,,1,,4,3,1,,,417,3,2,2,,1,,4,,
10255,,2017,5,25,9,55,51,10,4.4,,,4.4,,,,,TANZANIA,,TANZANIA: MWANZA,-3.043,32.888,10,1,1,,,18,1,,,,,,,1,1,,,18,1,,,,,,,,
10251,,2017,5,28,11,4,37,3,4.9,4.9,,5,,,,,TURKEY,,TURKEY: MANISA: SARUHANLI, GOLMARMARA,38.764,27.778,140,,,,,,,,2,,,35,1,,,,,,,,2,,,35,1,
10250,,2017,5,29,14,35,51,12,6.6,6.6,6.4,6.2,,,,7,INDONESIA,,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,170,,,,,25,1,,2,5,1,348,3,,,,,25,1,,2,5,1,348,3,,
10252,Tsu,2017,6,12,12,28,15,12,6.3,6.3,,,,,,,GREECE,,GREECE: LESBOS,38.93,26.365,130,1,1,,,15,1,,2,10,1,250,3,1,1,,,15,1,,2,10,1,250,3,,
10253,,2017,6,14,7,29,39,93,6.9,6.9,,6.5,,,,8,GUATEMALA,,GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO,14.909,-92.009,100,5,1,,,30,1,,3,,1,,3,5,1,,,30,1,,3,,1,,3,
10317,,2017,6,21,4,40,,,3.2,,,,,,3.2,,NEPAL,,NEPAL:  DHADING,27.64,85.17,60,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,
10256,,2017,6,22,12,31,49,38,6.8,6.8,,,,,,6,GUATEMALA,,GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA,13.717,-90.972,100,,,,,4,1,,2,,,53,2,,,,,4,1,,2,,,53,2
10257,,2017,6,24,2,37,48,27,5.6,5.6,,,,,,,MOZAMBIQUE,,MOZAMBIQUE,-19.45,34.488,10,,,,,4,1,,1,2,1,2,1,,,,,4,1,,1,2,1,2,1,,
10258,,2017,7,6,8,3,55,11,6.5,6.5,,,,,,9,PHILIPPINES,,PHILIPPINES: LEYTE,11.127,124.629,170,4,1,,,448,3,5,3,735,3,1029,4,4,1,,,448,3,5,3,735,3,1029,4,,
10259,Tsu,2017,7,17,23,35,14,10,7.7,7.7,,,,,,8,RUSSIA,,RUSSIA: BERING ISLAND,54.443,168.857,50,,,,,,,,,,,,,,,,,,,,,,,,,,
10284,,2017,7,18,2,6,15,44,6.4,6.4,,,,,,,PERU,,PERU:  AREQUIPA,-16.416,-73.636,160,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,
10260,Tsu,2017,7,20,22,31,26,7,6.6,6.6,,,,,,7,TURKEY,,TURKEY: BODRUM, DATCA; GREECE: KOS,36.929,27.414,140,2,1,,,500,3,,2,,1,,1,2,1,,,500,3,,2,,1,,1,
10318,,2017,8,2,7,15,    ,99,5.4,5.4,,,,,,,CHILE,,CHILE:  SANTIAGO,-33.201,-70.614,160,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,
10261,,2017,8,8,13,19,54,9,6.5,6.5,,,,,,5,CHINA,,CHINA:  SICHUAN PROVINCE:  ABA,33.193,103.855,30,29,1,,,525,3,500,4,100,2,72500,4,29,1,,,525,3,500,4,100,2,72500,4,,
10262,,2017,8,8,23,27,8,20,6.3,6.3,,,,,,,CHINA,,CHINA:  XINGJIANG: BORTALA,44.302,82.832,40,,,,,32,1,,2,142,3,1060,4,,,,,32,1,,2,142,3,1060,4,,
10283,,2017,8,11,21,45,4,41,5.6,5.6,,,,,,,PERU,,PERU: AREQUIPA,-16.299,-73.474,160,1,1,,,,1,,,,,,,1,1,,,,1,,,,,,,,
10445,,2017,8,13,16,51,5,32,5.8,5.8,,,,,,,PERU,,PERU:  JUNIN,-10.721,-74.566,160,1,1,,,2,1,,1,,,,,1,1,,,2,1,,1,,,,,,
10263,,2017,8,21,18,57,11,3,4.2,,,4.2,,,,,ITALY,,ITALY:  ISCHIA ISLAND,40.783,13.939,130,2,1,,,42,1,,2,,2,,2,2,1,,,42,1,,2,,2,,2,,
10264,,2017,8,22,22,27,3,17,5,,,5,,,,,PHILIPPINES,,PHILIPPINES: LEYTE: ORMOC,10.954,124.707,170,2,1,,,,1,,2,,,56,2,2,1,,,,1,,2,,,56,2,,
10266,Tsu,2017,9,8,4,49,2,46,8.2,8.2,,,,,,9,MEXICO,,MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA,14.761,-94.103,150,98,2,,,251,3,4000,4,47468,4,94027,4,98,2,,,251,3,4000,4,47468,4,94027,4
10267,,2017,9,19,18,14,7,39,7.1,7.1,,,,,,9,MEXICO,,MEXICO: MEXICO CITY, MORELOS, PUEBLA,18.339,-98.68,150,369,3,,,6000,4,8000,4,226,3,184000,4,369,3,,,6000,4,8000,4,226,3,184000,4
10268,,2017,9,23,12,53,48,10,6.1,6.1,,,,,,,MEXICO,,MEXICO:  OAXACA,16.626,-95.078,150,5,1,,,7,1,,1,11,1,,,5,1,,,7,1,,1,11,1,,,,
10269,,2017,9,23,20,48,16,8,5.7,5.7,,,,,,,PHILIPPINES,,PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE,7.562,124.743,170,,,,,11,1,,2,55,2,1659,4,,,,,11,1,,2,55,2,1659,4,,
10272,Tsu,2017,10,31,0,43,12,24,6.7,6.7,,,,,,3,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.697,169.149,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10319,,2017,10,31,11,50,37,6,6.1,6.1,,,,,,5,INDONESIA,,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,170,1,1,,,,,,1,,,14,1,1,1,,,,,,1,,,14,1,,
10273,Tsu,2017,11,1,2,24,7,22,6.6,6.6,,,,,,3,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.648,168.859,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10275,,2017,11,12,18,18,18,19,7.3,7.3,,,,,,8,IRAN,,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.911,45.959,140,630,3,,,12900,4,750,4,15500,4,14500,4,630,3,,,12900,4,750,4,15500,4,14500,4,,
10276,,2017,11,13,2,29,8,19,6.5,6.5,,,,,,8,COSTA RICA,,COSTA RICA: JACO,9.515,-84.487,100,2,1,,,,,,,,,,,2,1,,,,,,,,,,,,
10277,,2017,11,15,5,30,22,10,5.5,5.5,,,,,,8,SOUTH KOREA,,SOUTH KOREA: POHANG,36.074,129.27,30,,,,,90,2,52,4,,1,2000,4,,,,,90,2,52,4,,1,2000,4,,
10473,,2017,11,17,22,34,45,8,6.4,6.4,,,,,,9,CHINA,,CHINA:  TIBET (XIZANG PROVINCE): NYINGCHI,29.833,94.984,40,,,,,3,1,,3,,,3000,4,,,,,3,1,,3,,,3000,4,,
10282,,2017,11,18,16,7,3,8,5.8,5.8,,,,,,,INDONESIA,,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148,170,1,1,,,,,,2,,,294,3,1,1,,,,,,2,,,294,3,,
10442,Tsu,2017,11,19,9,26,13,14,6.3,6.3,,,,,,5,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.638,168.673,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10443,Tsu,2017,11,19,15,10,28,13,6.6,6.6,,,,,,4,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.503,168.598,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10281,Tsu,2017,11,19,22,43,25,10,7,7,,,,,,4,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.325,168.672,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10285,,2017,11,23,9,43,7,10,5.1,,,5.1,,,,4,CHINA,,CHINA: CHONGQING: WULONG,29.349,108.058,30,,,,,8,1,1.5,2,1,1,30,1,,,,,8,1,1.5,2,1,1,30,1,,
10286,,2017,12,1,2,32,4,9,6.1,6.1,,,,,,5,IRAN,,IRAN:  KERMAN,30.746,57.307,140,,,,,51,2,,1,,2,,1,,,,,51,2,,1,,2,,1,,
10287,,2017,12,15,16,47,23,90,6.5,6.5,,,,,,7,INDONESIA,,INDONESIA:  JAVA,-7.492,108.174,60,4,1,,,36,1,,2,,,4825,4,4,1,,,36,1,,2,,,4825,4,,
10288,,2017,12,20,19,57,7,10,4.9,,,4.9,,,,6,IRAN,,IRAN:  ALBORZ,35.649,50.962,140,2,1,,,117,3,,,,,,,2,1,,,117,3,,,,,,,,
10289,,2017,12,26,21,24,59,10,4,,,4,,,,4,IRAN,,IRAN: ALBORZ, TEHRAN,35.716,51.256,140,1,1,,,57,2,,,,,,,1,1,,,57,2,,,,,,,
10292,,2018,1,4,10,46,12,10,4.9,,,4.9,,,,,MONTENEGRO,,BALKANS NW:  MONTENEGRO: BERANE,42.658,19.883,130,,,,,,1,,2,,,,3,,,,,,1,,2,,,,3,,
10290,,2018,1,6,15,22,9,10,5,5,,,,,,,IRAN,,IRAN:  KERMANSHAH,34.649,45.799,140,,,,,51,2,,,,,,,,,,,51,2,,,,,,,,
10293,,2018,1,8,,,,,3.4,,,,,,3.4,,NETHERLANDS,,THE NETHERLANDS: GRONINGEN,53.2,6.6,120,,,,,,,,2,,,,4,,,,,,,,2,,,,4,,
10291,Tsu,2018,1,10,2,51,31,10,7.5,7.5,,,,,,,HONDURAS,,HONDURAS,17.474,-83.519,90,,,,,,,,1,,,7,1,,,,,,,,1,,,7,1,,
10294,,2018,1,11,6,59,31,10,5.5,5.5,,,,,,,IRAN,,IRAN: KERMANSHAH,33.764,45.749,140,,,,,13,1,,1,,,,2,,,,,13,1,,1,,,,2,,
10298,,2018,1,14,9,18,45,36,7.1,7.1,,,,,,6,PERU,,PERU: YAUCA,-15.776,-74.744,160,2,1,,,139,3,,3,259,3,1577,4,2,1,,,139,3,,3,259,3,1577,4,,
10299,,2018,1,23,6,34,54,44,6,6,,,,,,,INDONESIA,,INDONESIA:  JAVA:  BANTEN,-7.196,105.918,60,1,1,,,11,1,,2,,,2760,4,1,1,,,11,1,,2,,,2760,4,,
10300,Tsu,2018,1,23,9,31,42,25,7.9,7.9,,,,,,,USA,AK,USA: ALASKA:  KODIAK ISLAND,56.046,-149.073,150,,,,,,,,1,,,,,,,,,,,,1,,,,,,
10301,,2018,1,31,7,7,    ,191,6.1,6.1,,,,,,,AFGHANISTAN,,AFGHANISTAN; PAKISTAN:  BALUCHISTAN,36.543,70.816,40,2,1,,,15,1,,,,,,,2,1,,,15,1,,,,,,,,
10304,,2018,1,31,23,13,21,19,5.2,,,5.2,,,,,ECUADOR,,ECUADOR:  PASTAZA,-1.756,-77.694,60,1,1,,,,,,,,,,1,1,1,,,,,,,,,,1,,
10302,,2018,2,6,15,50,42,11,6.4,6.4,,,,,,,TAIWAN,,TAIWAN:  HUALIEN,24.174,121.653,30,17,1,,,291,3,,2,4,1,,1,17,1,,,291,3,,2,4,1,,1,,
10303,,2018,2,16,23,39,42,25,7.2,7.2,,,,,,,MEXICO,,MEXICO:  OAXACA,16.646,-97.653,150,13,1,,,,,,2,,,1000,3,13,1,,,,,,2,,,1000,3,,
10307,,2018,2,25,17,44,43,23,7.5,7.5,,,,,,8,PAPUA NEW GUINEA,,PAPUA NEW GUINEA: S HIGHLANDS, HELA;  INDONESIA,-6.068,142.768,170,145,3,,,300,3,290,4,,4,,4,145,3,,,300,3,290,4,,4,,4,
10313,,2018,2,28,2,45,45,16,6.1,6.1,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  S HIGHLANDS,-6.182,142.492,170,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,
10312,,2018,3,4,19,56,18,10,6,6,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  S HIGHLANDS,-6.307,142.62,170,11,1,,,,,,,,,,,11,1,,,,,,,,,,,,
10311,,2018,3,6,14,13,6,10,6.7,6.7,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  S HIGHLANDS, HELA,-6.294,142.607,170,25,1,,,,,,,1,1,,,25,1,,,,,,,1,1,,,
10322,,2018,4,1,8,35,27,10,5.3,,,5.3,,,,,IRAN,,IRAN:  KERMANSHAH,34.456,45.764,140,,,,,54,2,,,,,,,,,,,54,2,,,,,,,,
10323,,2018,4,3,9,41,27,10,4.9,,,4.9,,,,,VENEZUELA,,VENEZUELA:  MERIDA,8.346,-71.664,160,,,,,,,,2,,,28,1,,,,,,,,2,,,28,1,,
10325,,2018,4,7,5,48,38,10,6.3,6.3,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  HELA,-5.841,142.49,170,4,1,,,,,,1,,1,,1,4,1,,,,,,1,,1,,1,,
10324,,2018,4,8,16,32,31,8,5.6,5.6,,,,,,,JAPAN,,JAPAN:  SHIMANE PREFECTURE,35.262,132.541,30,,,,,8,1,,,,,429,3,,,,,8,1,,,,,429,3,,
10326,,2018,4,10,3,11,31,5,4.7,4.7,,,,,,,ITALY,,ITALY:  MUCCIA,43.093,13.046,130,,,,,,,,1,,,,,,,,,,,,1,,,,,,
10327,,2018,4,18,6,28,35,4,4.4,,,,,,4.4,2,INDONESIA,,INDONESIA:  JAVA:  BANJARNEGARA,-7.21,109.65,60,3,1,,,21,1,,2,,,316,3,3,1,,,21,1,,2,,,316,3,,
10328,,2018,4,24,0,34,31,10,5.2,5.2,,,,,,,TURKEY,,TURKEY:  ADIYAMAN,37.596,38.514,140,,,,,39,1,,1,,,,1,,,,,39,1,,1,,,,1,,
10329,,2018,5,2,4,8,13,10,5.3,5.3,,,,,,,IRAN,,IRAN:  KOHGILUYEH AND BOYER-AHMAD: SISAKHT,30.715,51.485,140,,,,,133,3,,2,,,,1,,,,,133,3,,2,,,,1,,
10330,,2018,5,3,11,17,,,2.1,,,,2.1,,,,SOUTH AFRICA,,SOUTH AFRICA:  WEST RAND,-26.4,27.5,10,7,1,,,6,1,,,,,,,7,1,,,6,1,,,,,,,,
10332,Tsu,2018,5,4,22,32,55,5,6.9,6.9,,,,,,,USA,HI,USA: HAWAIIAN ISLANDS: PUNA DISTRICT,19.37,-155.032,150,,,,,,,,1,,,,,,,,,1,1,370,4,716,3,,,,
10331,,2018,5,5,8,58,7,10,4.1,,,4.1,,,,,POLAND,,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.11,18.71,120,5,1,,,2,1,,1,,,,,5,1,,,2,1,,1,,,,,,
10334,,2018,5,6,19,2,22,10,5.6,5.6,,,,,,,EL SALVADOR,,EL SALVADOR:  LA UNION, SAN MIGUEL,13.095,-88.099,100,,,,,1,1,,2,11,1,298,3,,,,,1,1,,2,11,1,298,3,
10333,,2018,5,9,10,41,45,112,6.2,6.2,,,,,,,AFGHANISTAN,,AFGHANISTAN: TAKHAR;  PAKISTAN,36.99,71.369,40,,,,,13,1,,1,,1,45,1,,,,,13,1,,1,,1,45,1,,
10337,,2018,5,15,15,48,9,17,5.8,5.8,,,,,,,COMOROS,,COMOROS:  MAYOTTE,-12.778,45.593,60,,,,,3,1,,1,,,,1,,,,,3,1,,1,,,,1,,
10339,,2018,5,27,17,50,52,10,5.1,5.1,,,,,,,CHINA,,CHINA:  JILIN PROVINCE:  NINGJIANG,45.279,124.557,30,,,,,,,,3,,,10000,4,,,,,,,,3,,,10000,4,,
10346,,2018,6,5,18,40,30,24,5.3,5.3,,,,,,,AZERBAIJAN,,AZERBAIJAN: SHAKI-ZAQATALA,41.526,46.785,40,1,1,,,31,1,,1,,,,1,1,1,,,31,1,,1,,,,1,,
10340,,2018,6,12,9,35,26,10,4.9,4.9,,,,,,,COLOMBIA,,COLOMBIA:  PASTO,1.032,-77.259,160,2,1,,,,,,1,1,1,,1,2,1,,,,,,1,1,1,,1,,
10342,,2018,6,17,22,58,35,11,5.5,5.5,,,,,,,JAPAN,,JAPAN:  OSAKA,34.833,135.612,30,5,1,,,380,3,7000,4,,,470,3,5,1,,,380,3,7000,4,,,470,3,,
10348,,2018,7,21,7,58,15,10,5.2,5.2,,,,,,,INDONESIA,,INDONESIA: SUMATRA: SOLOK,-0.965,100.771,60,1,1,,,2,1,,1,2,1,10,1,1,1,,,2,1,,1,2,1,10,1,,
10347,,2018,7,22,10,7,26,6,5.9,,,5.9,,,,,IRAN,,IRAN:  KERMANSHAH,34.645,46.179,140,,,,,287,3,,2,,,951,3,,,,,287,3,,2,,,951,3,,
10349,,2018,7,28,22,47,37,6,6.4,6.4,,,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.274,116.491,60,17,1,,,355,3,,3,5448,4,,3,17,1,,,355,3,,3,5448,4,,3,,
10351,Tsu,2018,8,5,11,46,37,31,6.9,6.9,,,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.287,116.452,60,560,3,,,7733,4,509,4,,3,83392,4,560,3,,,7733,4,509,4,,3,83392,4,,
10352,,2018,8,9,5,25,31,10,5.9,5.9,,,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.394,116.208,60,2,1,,,24,1,,2,,,,3,2,1,,,24,1,,2,,,,3,,
10353,,2018,8,12,17,44,26,10,5,,,5,,,,,CHINA,,CHINA:   YUNNAN PROVINCE:  YUXI,24.322,102.941,30,,,,,24,1,,2,,,6000,4,,,,,24,1,,2,,,6000,4,,
10356,Tsu,2018,8,19,0,19,37,563,8.2,8.2,,,,,,,FIJI,,FIJI ISLANDS,-18.178,-178.111,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10354,,2018,8,19,4,10,21,8,6.3,6.3,,,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.325,116.577,60,2,1,,,1,1,,2,,,1705,4,2,1,,,1,1,,2,,,1705,4,,
10355,,2018,8,19,14,56,28,26,6.9,6.9,,,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.324,116.626,60,10,1,,,24,1,,2,,,151,3,10,1,,,24,1,,2,,,151,3,,
10357,Tsu,2018,8,21,21,31,46,154,7.3,7.3,,,,,,,VENEZUELA,,VENEZUELA:  SUCRE; TRINIDAD,10.855,-62.883,90,5,1,,,,,,2,,,,3,5,1,,,,,,2,,,,3,,
10358,,2018,8,25,22,13,26,10,6,6,,,,,,,IRAN,,IRAN:  KERMANSHAH,34.663,46.277,140,2,1,,,267,3,,3,,,2600,4,2,1,,,267,3,,3,,,2600,4,,
10359,Tsu,2018,8,29,3,51,56,28,7.1,7.1,,,,,,,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.066,170.05,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10360,,2018,9,5,18,7,58,33,6.6,6.6,,,,,,,JAPAN,,JAPAN:  HOKKAIDO,42.671,141.933,30,44,1,,,660,3,2000,4,,1,,1,44,1,,,660,3,2000,4,,1,,1,,
