I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10147,Tsu,2015,7,10,4,12,54,12,6.7,6.7,,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.307,158.403,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10146,Tsu,2015,7,18,2,28,22,11,7,7,,,,,,8,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.401,165.141,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10145,,2015,7,24,20,59,12,17,5.1,5.1,,,,,,5,PAKISTAN,,PAKISTAN:  ABBOTTABAD,33.856,73.193,60,3,1,,,1,1,,1,3,1,,,3,1,,,1,1,,1,3,1,,,,
10157,Tsu,2015,7,27,4,49,    ,23,6.9,6.9,,,,,,,USA,AK,USA: ALASKA,52.214,-169.399,150,,,,,,,,,,,,,,,,,,,,,,,,,,
10149,,2015,7,27,21,42,11,48,7,7,,,,,,5,INDONESIA,,INDONESIA:  PAPUA,-2.629,138.528,170,1,1,,,,,,1,1,1,6,1,1,1,,,,,,1,1,1,6,1,,
10150,,2015,7,29,0,11,6,12,5.9,5.9,,,,,,3,PANAMA,,COLOMBIA-PANAMA:  COLOMBIA:  UNGUIA,8.231,-77.315,100,,,,,6,1,,1,,,45,1,,,,,6,1,,1,,,45,1,,
10148,,2015,8,7,1,25,54,11,5.8,5.8,,,,,,4,RWANDA,,RWANDA:  BUKAVU,-2.141,28.897,10,3,1,,,30,1,,,,,,,3,1,,,30,1,,,,,,,,
10341,,2015,8,9,7,5,38,10,4.5,4.5,,,,,,4,EL SALVADOR,,EL SALVADOR:  ALEGRIA,13.668,-88.478,100,,,,,4,1,,2,,,92,2,,,,,4,1,,2,,,92,2,,
10156,Tsu,2015,9,16,22,55,26,22,8.3,8.3,,,,,,9,CHILE,,CHILE:  CENTRAL,-31.573,-71.674,160,7,1,1,1,14,1,600,4,2305,4,10044,4,15,1,1,1,14,1,600,4,2305,4,10044,4,,
10158,,2015,9,24,15,53,    ,10,6.6,6.6,,,,,,5,INDONESIA,,INDONESIA:  SORONG,-0.59,131.27,170,,,,,62,2,,2,,,260,3,,,,,62,2,,2,,,260,3,,
