US_Commercial Nuclear Power Reactors - Operating Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor
(Percent)","2017 Capacity Factor
(Percent)","2016 Capacity Factor
(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Years of Operation through 12/31/2019
Palisades Nuclear Plant,Palisades,5000255,DPR-20,"Covert, MI (5 MI S of South Haven,  MI)",3,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,3/14/1967,3/24/1971,12/31/1971,1/17/2007,3/24/1931,2565,"AEC issued a provisional OL on 03/24/1971, allowing commercial operation. The NRC issued a full-term OL on 02/21/1991.",77%,86%,99%,89%,86%,85%,74%,96%,92%,90%,99%,48
"Palo Verde Nuclear Generating Station, Unit 1",Palo Verde 1,5000528,NPF-41,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/1976,6/1/1985,1/28/1986,4/21/2011,6/1/1945,3990,,97%,85%,83%,94%,90%,85%,100%,83%,81%,101%,86%,34
"Palo Verde Nuclear Generating Station, Unit 2",Palo Verde 2,0'5000529,NPF-51,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/1976,4/24/1986,9/19/1986,4/21/2011,4/24/1946,3990,,82%,86%,95%,85%,90%,91%,90%,91%,101%,83%,74%,33
"Palo Verde Nuclear Generating Station, Unit 3",Palo Verde 3,5000530,NPF-74,"Wintersburg, AZ (50 MI W of Phoenix,  AZ)",4,Arizona Public Service Company,Arizona Public Service Company,www.aps.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,CE80-2L,BECH,BECH,5/25/1976,11/25/1987,1/8/1988,4/21/2011,11/25/1947,3990,,90%,92%,85%,85%,101%,79%,88%,97%,89%,83%,97%,32
"Peach Bottom Atomic Power Station, Unit 2",Peach Bottom 2,5000277,DPR-44,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,1/31/1968,10/25/1973,7/5/1974,5/7/2003,8/8/1933,4016,,94%,92%,96%,99%,88%,100%,88%,101%,92%,102%,89%,46
"Peach Bottom Atomic Power Station, Unit 3",Peach Bottom 3,5000278,DPR-56,"Delta, PA (17.9 MI S of Lancaster,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,BECH,BECH,1/31/1968,7/2/1974,12/23/1974,5/7/2003,7/2/1934,4016,,94%,86%,95%,75%,103%,85%,103%,90%,100%,89%,99%,45
"Perry Nuclear Power Plant, Unit 1",Perry 1,5000440,NPF-58,"Perry, OH (35 MI NE of Cleveland,  OH)",3,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,BWR-MARK 3,GE 6,GIL,KAIS,5/3/1977,11/13/1986,11/18/1987,N/A,3/18/2026,3758,,99%,85%,91%,83%,96%,73%,92%,79%,98%,67%,98%,33
"Point Beach Nuclear Plant, Unit 1",Point Beach 1,5000266,DPR-24,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,7/19/1967,10/5/1970,12/21/1970,12/22/2005,10/5/1930,1800,,99%,86%,86%,92%,90%,84%,100%,79%,88%,98%,87%,49
"Point Beach Nuclear Plant, Unit 2",Point Beach 2,5000301,DPR-27,"Two Rivers, WI (13 MI NNW of Manitowoc,  WI)",3,"NextEra Energy Point Beach, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 2LP,BECH,BECH,7/25/1968,3/8/1973,10/1/1972,12/22/2005,3/8/1933,1800,AEC issued a provisional OL on 11/18/1971. The NRC issued a full-term OL on 03/08/1973.,94%,85%,94%,86%,90%,93%,89%,67%,96%,84%,89%,46
"Prairie Island Nuclear Generating Plant, Unit 1",Prairie Island 1,5000282,DPR-42,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/1968,4/5/1974,12/16/1973,6/27/2011,8/9/1933,1677,AEC issued a provisional OL on 08/09/1973. The NRC issued a full-term OL on 04/05/1974.,89%,88%,81%,77%,84%,90%,81%,91%,96%,97%,84%,45
"Prairie Island Nuclear Generating Plant, Unit 2",Prairie Island 2,5000306,DPR-60,"Welch, MN (28 MI SE of Minneapolis,  MN)",3,Northern States Power Co. Minnesota ,Northern States Power Company Minnesota doing business as Xcel Energy,www.xcelenergy.com,,PWR-DRYAMB,WEST 2LP,FLUR,NSP,6/25/1968,10/29/1974,12/21/1974,6/27/2011,10/29/1934,1677,,100%,80%,78%,65%,101%,59%,74%,99%,86%,75%,85%,45
"Quad Cities Nuclear Power Station, Unit 1",Quad Cities 1,5000254,DPR-29,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,2/15/1967,12/14/1972,2/18/1973,10/28/2004,12/14/1932,2957,,99%,85%,92%,83%,103%,85%,102%,92%,99%,82%,96%,47
"Quad Cities Nuclear Power Station, Unit 2",Quad Cities 2,5000265,DPR-30,"Cordova, IL (20 MI NE of Moline,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,2/15/1967,12/14/1972,3/10/1973,10/28/2004,12/14/1932,2957,,92%,89%,85%,95%,90%,91%,92%,104%,92%,91%,86%,47
R.E. Ginna Nuclear Power Plant,Ginna,5000244,DPR-18,"Ontario, NY (20 MI NE of Rochester,  NY)",1,"R.E. Ginna Nuclear Power Plant, LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 2LP,GIL,BECH,4/25/1966,9/19/1969,7/1/1970,5/19/2004,9/18/2029,1775,,93%,87%,94%,89%,91%,93%,90%,84%,97%,91%,109%,50
"River Bend Station, Unit 1",River Bend 1,5000458,NPF-47,"St. Francisville, LA (24 MI NNW of Baton Rouge,  LA)",4,"Entergy Operations, Inc.","Entergy Corporation, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,S&W,S&W,3/25/1977,11/20/1985,6/16/1986,12/20/2018,8/29/1945,3091,,82%,77%,78%,76%,96%,84%,91%,90%,98%,113%,82%,34
"St. Lucie Plant, Unit 1",Saint Lucie 1,5000335,DPR-67,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,CE,EBSO,EBSO,7/1/1970,3/1/1976,12/21/1976,10/2/2003,3/1/1936,3020,,91%,90%,73%,83%,101%,74%,72%,85%,72%,100%,91%,43
"St. Lucie Plant, Unit 2",Saint Lucie 2,5000389,NPF-16,"Jensen Beach, FL (10 MI SE of Ft. Pierce,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,CE,EBSO,EBSO,5/2/1977,4/6/1983,8/8/1983,10/2/2003,4/6/1943,3020,,87%,84%,92%,77%,82%,91%,68%,66%,100%,80%,99%,36
"Salem Nuclear Generating Station, Unit 1",Salem 1,5000272,DPR-70,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/1968,12/1/1976,6/30/1977,6/30/2011,8/13/1936,3459,,100%,90%,68%,95%,86%,88%,97%,86%,85%,99%,91%,43
"Salem Nuclear Generating Station, Unit 2",Salem 2,5000311,DPR-75,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,PWR-DRYAMB,WEST 4LP,PSEG,UE&C,9/25/1968,5/20/1981,10/13/1981,6/30/2011,4/18/1940,3459,,87%,85%,85%,85%,73%,100%,88%,89%,98%,93%,83%,38
"Seabrook Station, Unit 1",Seabrook 1,5000443,NPF-86,"Seabrook, NH (13 MI S of Portsmouth,  NH)",1,"NextEra Energy Seabrook, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,PWR-DRYAMB,WEST 4LP,UE&C,UE&C,7/7/1976,3/15/1990,8/19/1990,3/12/2019,3/15/1950,3648,,92%,92%,99%,87%,93%,100%,75%,77%,100%,81%,89%,29
"Sequoyah Nuclear Plant, Unit 1",Sequoyah 1,5000327,DPR-77,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/1970,9/17/1980,7/1/1981,9/24/2015,9/17/1940,3455,,89%,88%,71%,87%,100%,83%,89%,98%,84%,89%,101%,39
"Sequoyah Nuclear Plant, Unit 2",Sequoyah 2,5000328,DPR-79,"Soddy-Daisy, TN (16 MI NE of Chattanooga,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,5/27/1970,9/15/1981,6/1/1982,9/25/2015,9/15/1941,3455,,88%,83%,90%,73%,90%,90%,77%,89%,97%,89%,89%,38
"Shearon Harris Nuclear Power Plant, Unit 1",Shearon Harris 1,5000400,NPF-63,"New Hill, NC (20 MI SW of Raleigh,  NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,DANI,1/27/1978,10/24/1986,5/2/1987,12/17/2008,10/24/1946,2948,,89%,99%,90%,87%,99%,83%,90%,103%,90%,94%,99%,33
"South Texas Project, Unit 1",South Texas 1,5000498,NPF-76,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/1975,3/22/1988,8/25/1988,9/28/2017,8/20/1947,3853,,89%,85%,95%,78%,81%,91%,93%,94%,101%,90%,95%,31
"South Texas Project, Unit 2",South Texas 2,5000499,NPF-80,"Bay City, TX (90 MI SW of Houston, TX)",4,STP Nuclear Operating Co.,STP Nuclear Operating Company,www.stpnoc.com,,PWR-DRYAMB,WEST 4LP,BECH,EBSO,12/22/1975,3/28/1989,6/19/1989,9/28/2017,12/15/1948,3853,,90%,97%,88%,85%,103%,59%,72%,88%,88%,101%,95%,30
"Surry Power Station, Unit 1",Surry 1,5000280,DPR-32,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/1968,5/25/1972,12/22/1972,3/20/2003,5/25/1932,2587,,87%,101%,96%,76%,99%,91%,92%,101%,89%,94%,98%,47
"Surry Power Station, Unit 2",Surry 2,5000281,DPR-37,"Surry, VA (17 MI NW of Newport News,  VA)",2,Virginia Electric & Power Co.,Dominion Generation,www.dom.com,,PWR-DRYSUB,WEST 3LP,S&W,S&W,6/25/1968,1/29/1973,5/1/1973,3/20/2003,1/29/1933,2587,,88%,93%,101%,82%,95%,101%,91%,76%,100%,92%,94%,46
"Susquehanna Steam Electric Station, Unit 1",Susquehanna 1,5000387,NPF-14,"Salem Township (Luzerne Co.), PA (70 MI NE of Harrisburg, PA)",1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,www.talenenergy.com,,BWR-MARK 2,GE 4,BECH,BECH,11/3/1973,7/17/1982,6/8/1983,11/24/2009,7/17/1942,3952,,86%,97%,77%,76%,83%,87%,70%,86%,80%,101%,89%,37
"Susquehanna Steam Electric Station, Unit 2",Susquehanna 2,5000388,NPF-22,"Salem Township (Luzerne Co.), PA (70 MI NE of Harrisburg, PA)",1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,www.talenenergy.com,,BWR-MARK 2,GE 4,BECH,BECH,11/3/1973,3/23/1984,2/12/1985,11/24/2009,3/23/1944,3952,,99%,86%,93%,82%,88%,80%,83%,72%,96%,90%,100%,35
"Three Mile Island Nuclear Station, Unit 1",Three Mile Island 1,5000289,DPR-50,"Middletown, PA (10 MI SE of Harrisburg,  PA)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,B&W LLP,GIL,UE&C,5/18/1968,4/19/1974,9/2/1974,10/22/2009,4/19/1934,2568,,100%,80%,82%,77%,104%,78%,100%,92%,94%,86%,107%,45
Turkey Point Nuclear Generating Unit No. 3,Turkey Point 3,5000250,DPR-31,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/1967,7/19/1972,12/14/1972,6/6/2002,7/19/1932,2644,,89%,80%,93%,78%,84%,81%,40%,96%,88%,86%,101%,47
Turkey Point Nuclear Generating Unit No. 4,Turkey Point 4,5000251,DPR-41,"Homestead, FL (20 MI S of Miami,  FL)",2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",www.fplgroup.com,,PWR-DRYAMB,WEST 3LP,BECH,BECH,4/27/1967,4/10/1973,9/7/1973,6/6/2002,4/10/1933,2644,,100%,98%,99%,106%,88%,70%,85%,84%,98%,99%,89%,46
"Virgil C. Summer Nuclear Station, Unit 1",Summer,5000395,NPF-12,"Jenkinsville, SC (26 MI NW of Columbia,  SC)",2,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Company,www.sceg.com,,PWR-DRYAMB,WEST 3LP,GIL,DANI,3/21/1973,11/12/1982,1/1/1984,4/23/2004,8/6/1942,2900,,85%,77%,96%,79%,81%,93%,86%,88%,100%,81%,87%,37
"Vogtle Electric Generating Plant, Unit 1",Vogtle 1,5000424,NPF-68,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/1974,3/16/1987,6/1/1987,6/3/2009,1/16/1947,3625,,93%,93%,101%,91%,87%,101%,91%,92%,102%,91%,93%,32
"Vogtle Electric Generating Plant, Unit 2",Vogtle 2,5000425,NPF-81,"Waynesboro, GA (26 MI SE of Augusta,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 4LP,SBEC,GPC,6/28/1974,3/31/1989,5/20/1989,6/3/2009,2/9/1949,3625,,100%,96%,94%,100%,92%,87%,102%,94%,93%,101%,88%,30
"Waterford Steam Electric Station, Unit 3",Waterford 3,5000382,NPF-38,"Killona, LA (25 MI W of New Orleans,  LA)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,COMB CE,EBSO,EBSO,11/14/1974,3/16/1985,9/24/1985,12/27/2018,12/18/1944,3716,,100%,80%,96%,80%,90%,89%,77%,82%,100%,87%,89%,34
"Watts Bar Nuclear Plant, Unit 1",Watts Bar 1,5000390,NPF-90,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,1/23/1973,2/7/1996,5/27/1996,N/A,11/9/1935,3459,,87%,77%,85%,76%,89%,90%,87%,84%,99%,94%,82%,23
"Watts Bar Nuclear Plant, Unit 2",Watts Bar 2,5000391,NPF-96,"Spring City, TN (60 MI SW of Knoxville,  TN)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,PWR-ICECND,WEST 4LP,TVA,TVA,1/24/1973,10/22/2015,10/19/2016,N/A,10/22/1955,3411,,95%,45%,26%,0%,,,,,,,,4
"Wolf Creek Generating Station, Unit 1",Wolf Creek 1,5000482,NPF-42,"Burlington (Coffey County), KS (28 MI SE of Emporia, KS)",4,Wolf Creek Nuclear Operating Corp.,Wolf Creek Nuclear Operating Corporation,www.wcnoc.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,5/17/1977,6/4/1985,9/3/1985,11/20/2008,3/11/1945,3565,"The original OL (NPF-32) was issued on March 11, 1985. This license was superseded by OL( NPF-42) issued on June 4, 1985.",86%,96%,74%,78%,83%,65%,80%,72%,86%,86%,83%,34
