US_Commercial Nuclear Power Reactors - Operating Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor
(Percent)","2017 Capacity Factor
(Percent)","2016 Capacity Factor
(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Years of Operation through 12/31/2019
Callaway Plant,Callaway,5000483,NPF-30,"Fulton, MO (25 MI ENE of Jefferson City,  MO)",4,Union Electric Co.,AmerenUE,www.ameren.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,4/16/1976,10/18/1984,12/19/1984,3/6/2015,10/18/1944,3565,,100%,77%,87%,96%,89%,77%,103%,90%,86%,98%,90%,35
"Calvert Cliffs Nuclear Power Plant, Unit 1",Calvert Cliffs 1,5000317,DPR-53,"Lusby, MD (40 MI S of Annapolis,  MD)",1,"Calvert Cliffs Nuclear Power Plant, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,CE,BECH,BECH,7/7/1969,7/31/1974,5/8/1975,3/23/2000,7/31/1934,2737,,92%,97%,89%,97%,91%,97%,81%,101%,90%,98%,93%,45
"Calvert Cliffs Nuclear Power Plant, Unit 2",Calvert Cliffs 2,5000318,DPR-69,"Lusby, MD (40 MI S of Annapolis,  MD)",1,"Calvert Cliffs Nuclear Power Plant, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,CE,BECH,BECH,7/7/1969,8/13/1976,4/1/1977,3/23/2000,8/13/1936,2737,,100%,91%,95%,86%,100%,81%,101%,92%,97%,93%,99%,43
"Catawba Nuclear Station, Unit 1",Catawba 1,5000413,NPF-35,"York, SC (18 MI S of Charlotte, NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/1975,1/17/1985,6/29/1985,12/5/2003,12/5/1943,3469,,93%,90%,97%,88%,86%,96%,89%,89%,100%,91%,89%,34
"Catawba Nuclear Station, Unit 2",Catawba 2,5000414,NPF-52,"York, SC (18 MI S of Charlotte, NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/1975,5/15/1986,8/19/1986,12/5/2003,12/5/1943,3469,,91%,96%,88%,86%,100%,86%,92%,101%,92%,90%,103%,33
"Clinton Power Station, Unit 1",Clinton,5000461,NPF-62,"Clinton, IL (23 MI SSE of Bloomington, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 3,GE 6,S&L,BALD,2/24/1976,4/17/1987,11/24/1987,N/A,9/29/2026,3473,,88%,84%,89%,87%,97%,82%,100%,93%,92%,97%,99%,32
Columbia Generating Station,Columbia Generating Station,5000397,NPF-21,"Richland, WA (20 MI NNE of Pasco, WA)",4,Energy Northwest,Energy Northwest,www.energy-northwest.com,,BWR-MARK 2,GE 5,B&R,BECH,3/19/1973,4/13/1984,12/13/1984,5/22/2012,12/20/1943,3544,,96%,77%,92%,78%,98%,80%,97%,50%,95%,67%,93%,35
"Comanche Peak Nuclear Power Plant, Unit 1",Comanche Peak 1,5000445,NPF-87,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Comanche Peak Power Company LLC – Owner
Vistra Operations Company LLC – Operator",Vistra Energy Corp.,www.vistraenergy.com/,Member of the Utilities Services Alliance,PWR-DRYAMB,WEST 4LP,G&H,BRRT,12/19/1974,4/17/1990,8/13/1990,N/A,2/8/1930,3612,,100%,91%,92%,100%,85%,94%,98%,91%,91%,100%,96%,29
"Comanche Peak Nuclear Power Plant, Unit 2",Comanche Peak 2,5000446,NPF-89,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Comanche Peak Power Company LLC – Owner
Vistra Operations Company LLC – Operator",Vistra Energy Corp.,www.vistraenergy.com/,Member of the Utilities Services Alliance,PWR-DRYAMB,WEST 4LP,BECH,BRRT,12/19/1974,4/6/1993,8/3/1993,N/A,2/2/1933,3612,,93%,68%,100%,88%,93%,99%,91%,92%,104%,94%,95%,26
Cooper Nuclear Station ,Cooper,5000298,DPR-46,"Brownville, NE (23 MI S of Nebraska City,  NE)",4,Nebraska Public Power District,Nebraska Public Power District, www.nppd.com,,BWR-MARK 1,GE 4,B&R,B&R,6/4/1968,1/18/1974,7/1/1974,11/29/2010,1/18/1934,2419,,81%,99%,84%,97%,88%,97%,87%,86%,100%,72%,90%,45
"Davis-Besse Nuclear Power Station, Unit 1",Davis-Besse,5000346,NPF-3,"Oak Harbor, OH (21 MI ESE of Toledo,  OH)",3,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,B&W RLP,BECH,B&W,3/24/1971,4/22/1977,7/31/1978,12/8/2015,4/22/1937,2817,,93%,97%,79%,97%,74%,95%,91%,81%,66%,99%,97%,42
"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,5000275,DPR-80,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,4/23/1968,11/2/1984,5/7/1985,Application Withdrawn,11/2/2024,3411,,98%,81%,98%,87%,87%,95%,84%,100%,88%,84%,98%,35
"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,5000323,DPR-82,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,12/9/1970,8/26/1985,3/13/1986,Application Withdrawn,8/26/2025,3411,,87%,95%,88%,95%,86%,82%,97%,89%,100%,84%,74%,34
"Donald C. Cook Nuclear Plant, Unit 1",D.C. Cook 1,5000315,DPR-58,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/1969,10/25/1974,8/28/1975,8/30/2005,10/25/1934,3304,,100%,72%,82%,78%,94%,78%,104%,87%,88%,3%,64%,45
"Donald C. Cook Nuclear Plant, Unit 2",D.C. Cook 2 ,5000316,DPR-74,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/1969,12/23/1977,7/1/1978,8/30/2005,12/23/1937,3468,,79%,104%,71%,79%,101%,85%,91%,104%,84%,87%,101%,42
"Dresden Nuclear Power Station, Unit 2",Dresden 2,5000237,DPR-19,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,1/10/1966,12/22/1969,6/9/1970,10/28/2004,12/22/2029,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",99%,84%,91%,83%,98%,85%,104%,95%,102%,91%,98%,50
"Dresden Nuclear Power Station, Unit 3",Dresden 3,5000249,DPR-25,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,10/14/1966,1/12/1971,11/16/1971,10/28/2004,1/12/1931,2957,,94%,91%,84%,89%,95%,89%,91%,99%,90%,97%,93%,48
Duane Arnold Energy Center,Duane Arnold,5000331,DPR-49,"Palo, IA (8 MI NW of Cedar Rapids,  IA)",3,"NextEra Duane Arnold, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,BWR-MARK 1,GE 4,BECH,BECH,6/22/1970,2/22/1974,2/1/1975,12/16/2010,2/21/1934,1912,"In a letter dated January 18, 2019, NextEra Energy Duane Arnold, LLC. Certified their decision to permanently cease power operations at the Duane Arnold Energy Center (DAEC) in the fourth quarter of 2020.",93%,88%,79%,88%,79%,89%,83%,99%,89%,92%,103%,45
"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,5000321,DPR-57,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,9/30/1969,10/13/1974,12/31/1975,1/15/2002,8/6/1934,2804,,91%,97%,93%,101%,89%,94%,89%,98%,85%,94%,84%,45
"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,5000366,NPF-5,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,12/27/1972,6/13/1978,9/5/1979,1/15/2002,6/13/1938,2804,,95%,95%,101%,91%,99%,89%,98%,78%,96%,67%,96%,41
"Fermi, Unit 2",Fermi 2,5000341,NPF-43,"Newport, MI (25 MI NE of Toledo,  OH)",3,DTE Electric Company,DTE Electric Company (DTE),www.dteenergy.com,,BWR-MARK 1,GE 4,S&L,DANI,9/26/1972,3/20/1985,1/23/1988,12/15/2016,3/20/1945,3486,,75%,82%,86%,69%,82%,62%,54%,94%,80%,75%,98%,34
"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,5000416,NPF-29,"Port Gibson, MS (20 MI S of Vicksburg,  MS)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,BECH,BECH,9/4/1974,11/1/1984,7/1/1985,12/1/2016,11/1/1944,4408,,57%,58%,47%,93%,82%,86%,70%,94%,88%,100%,86%,35
"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,5000261,DPR-23,"Hartsville, SC (26 MI NW of Florence,  SC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,EBSO,4/13/1967,7/31/1970,3/7/1971,4/19/2004,7/31/1930,2339,,79%,88%,95%,85%,86%,85%,85%,100%,57%,104%,87%,49
"Hope Creek Generating Station, Unit 1",Hope Creek 1,5000354,NPF-57,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,BWR-MARK 1,GE 4,BECH,BECH,11/4/1974,7/25/1986,12/20/1986,7/20/2011,4/11/1946,3902,,90%,94%,85%,83%,102%,80%,93%,103%,93%,95%,108%,33
"Indian Point Nuclear Generating, Unit 2",Indian Point 2,5000247,DPR-26,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,10/14/1966,9/28/1973,8/1/1974,9/17/2018,4/30/2024,3216,,90%,73%,53%,77%,93%,77%,90%,98%,82%,98%,91%,46
"Indian Point Nuclear Generating, Unit 3",Indian Point 3,5000286,DPR-64,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,8/13/1969,12/12/1975,8/30/1976,9/17/2018,4/30/2025,3216,,92%,78%,102%,86%,98%,94%,100%,90%,99%,85%,107%,44
James A. FitzPatrick Nuclear Power Plant,FitzPatrick,5000333,DPR-59,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,S&W,S&W,5/20/1970,10/17/1974,7/28/1975,9/8/2008,10/17/1934,2536,,89%,80%,76%,96%,79%,89%,84%,97%,85%,99%,89%,45
"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,5000348,NPF-2,"Columbia, AL (18 MI E of Dothan,  AL)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,DANI,8/16/1972,6/25/1977,12/1/1977,5/12/2005,6/25/1937,2775,,84%,100%,86%,86%,102%,90%,91%,101%,88%,90%,97%,42
"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,5000364,NPF-8,"Columbia, AL (18 MI E of Dothan,  AL)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,BECH,8/16/1972,3/31/1981,7/30/1981,5/12/2005,3/31/1941,2775,,99%,91%,90%,98%,89%,91%,104%,89%,88%,96%,90%,38
